Student_ID	Education_Level		Age	Location	Category	Institute_Type	Medium	Monthly_Income_INR	Father_Education	Mother_Education	Internet_Access	Tuition_Classes	Scholarship	Family_Size	Distance_To_Institute_KM	Study_Hours_Per_Day	Attendance_Percentage	Sleep_Hours	Stress_Level	Previous_Percentage	Final_Percentage
918	School	Male	17	Urban	OBC	Government	Hindi	5637	Graduate	10th	Yes	Yes	No	3	3.8	2.2	90.4	7.3	Medium	88.2	62.7
919	School	Male	16	Urban	General	Government	English	36809	Graduate	12th	Yes	No	No	3	8.1	2.4	74.2	8.6	Medium	76.8	50.3
920	School	Male	18	Urban	OBC	Government	Hindi	93863	12th	12th	Yes	Yes	No	8	7	3.6	85.6	5.3	Low	82	66
921	School	Male	18	Rural	SC	Private	Hindi	24068	10th	No School	Yes	Yes	No	8	13.1	1.9	81.9	7.5	Medium	79.3	52.2
922	School	Female	18	Urban	SC	Government	Hindi	31816	10th	10th	Yes	Yes	No	8	0.7	2.3	78.3	6	Low	83.5	51.8
923	School	Female	15	Rural	General	Government	Hindi	49646	Postgraduate	10th	Yes	No	No	6	10.9	4.4	80.1	7.7	Medium	84.1	60.3
924	School	Male	16	Urban	General	Private	English	12023	12th	12th	Yes	Yes	Yes	5	13.4	1.2	66.6	5.5	Medium	83.7	51
925	School	Male	14	Rural	OBC	Government	Hindi	8683	10th	10th	Yes	No	No	3	11.3	3.3	81.5	5.1	Low	93.9	56
926	School	Male	16	Rural	OBC	Government	Hindi	5918	No School	12th	No	Yes	No	7	5.6	0.5	66	8	Low	73.6	41
927	School	Female	18	Rural	General	Private	Hindi	21566	10th	No School	No	No	No	8	12	3.4	80.7	5.6	Low	77.5	46.4
928	School	Male	15	Urban	SC	Government	Hindi	14280	Graduate	10th	No	Yes	Yes	6	9.3	2.2	72.8	5.2	Medium	83	51.1
929	School	Male	15	Rural	General	Government	Hindi	18461	No School	Graduate	Yes	No	Yes	8	12.5	1.9	75	5.4	Low	72.4	50.1
930	School	Male	14	Rural	General	Government	Hindi	20728	Postgraduate	No School	No	Yes	No	5	10.1	6	86.6	7.7	Low	98	69.9
931	School	Female	15	Urban	OBC	Government	English	92407	Postgraduate	No School	Yes	Yes	No	3	14.4	4.3	75.4	7.9	Low	98	68.9
932	School	Female	14	Rural	General	Private	English	33243	12th	No School	Yes	Yes	Yes	5	6.9	2.1	87.3	6.4	Low	70.5	49.6
933	School	Female	18	Urban	ST	Private	Hindi	4072	10th	No School	Yes	Yes	No	6	17.9	2.2	77.6	8.9	Medium	81.3	59.6
934	School	Male	18	Rural	General	Private	Hindi	48603	10th	Graduate	Yes	No	No	8	6.5	1.3	82.8	7.4	Low	79.6	44.4
935	School	Male	15	Rural	General	Government	Hindi	91490	10th	Graduate	Yes	Yes	No	6	17.6	3	86.6	8.6	Low	83.7	57.6
936	School	Female	18	Rural	OBC	Private	Hindi	5666	10th	12th	Yes	Yes	No	5	7.1	3.5	77.3	5.5	Low	94.6	62.7
937	School	Male	17	Urban	SC	Government	Hindi	26441	No School	No School	Yes	Yes	Yes	8	14.4	3.8	76.1	8	Medium	64.8	49.5
938	School	Male	15	Rural	General	Government	Hindi	10642	10th	10th	Yes	No	No	4	13.1	3.9	86.9	5.2	Medium	96.8	57.1
939	School	Male	18	Rural	OBC	Government	Hindi	42551	Graduate	12th	Yes	Yes	Yes	5	0.8	3.3	92.4	6	Low	98	66
940	School	Male	14	Urban	OBC	Government	Hindi	44292	12th	10th	Yes	No	No	5	12.9	3.8	67.3	7.3	Low	98	65.5
941	School	Male	17	Rural	General	Government	Hindi	13598	Graduate	No School	No	Yes	Yes	3	10.9	2.5	48.9	6.1	Low	80.8	40.9
942	School	Female	15	Rural	SC	Government	Hindi	16396	10th	10th	Yes	Yes	No	5	14.7	0.5	68.4	8.7	Low	75.6	49.7
943	School	Male	15	Rural	General	Government	Hindi	40862	10th	Graduate	Yes	Yes	No	7	5.5	6	95.8	7.9	Low	98	75.1
944	School	Female	14	Rural	OBC	Government	Hindi	21976	Graduate	12th	Yes	Yes	Yes	3	12.8	2.3	64.9	8.6	Low	73.2	56.8
945	School	Male	14	Rural	OBC	Government	Hindi	41507	No School	Graduate	Yes	No	Yes	5	3.2	2.6	69.6	8.3	Low	71.4	46.1
946	School	Female	14	Rural	General	Government	Hindi	12825	10th	Graduate	Yes	Yes	No	5	15.2	5	80.8	7.3	Low	89.4	63.8
947	School	Female	17	Rural	SC	Government	English	15876	Postgraduate	Graduate	Yes	Yes	Yes	8	2.3	2.4	69	5.1	Low	68.5	50.7
948	School	Male	15	Rural	SC	Private	Hindi	87315	Postgraduate	No School	No	Yes	No	6	7.2	3.3	81.1	5.2	Medium	88.9	61.1
949	School	Male	18	Rural	General	Government	English	4832	12th	10th	Yes	No	Yes	7	7	2.7	79.4	7.4	Low	87.3	53.5
950	School	Male	15	Rural	OBC	Government	Hindi	11093	10th	12th	Yes	Yes	Yes	7	17.8	4.1	79.7	6.9	Low	81.4	60.4
951	School	Female	15	Rural	OBC	Private	Hindi	77949	10th	12th	Yes	Yes	No	5	12.5	3.5	75.2	8.1	Medium	98	63
952	School	Male	18	Urban	ST	Government	Hindi	44301	12th	Postgraduate	Yes	Yes	No	8	3.1	3.4	77.8	6.1	Medium	95.4	66.4
953	School	Female	18	Rural	OBC	Government	Hindi	8719	10th	Graduate	No	No	Yes	4	8.2	4.6	83.6	6.9	Low	97.1	61.2
954	School	Female	14	Rural	SC	Government	Hindi	6987	10th	No School	Yes	No	No	4	15.9	3.6	75.3	8.2	Medium	81	51.4
955	School	Male	16	Urban	OBC	Government	Hindi	7121	12th	10th	Yes	Yes	Yes	6	6.6	4.6	82.1	6.8	Low	73.9	53.3
956	School	Female	14	Rural	OBC	Government	Hindi	9262	No School	10th	Yes	Yes	Yes	8	14.5	1.8	66.6	8.6	Low	85.8	44.7
957	School	Male	17	Urban	OBC	Government	Hindi	18135	12th	12th	Yes	No	Yes	5	11.9	3.6	82.4	7.6	Low	81.1	56.2
958	School	Female	16	Urban	ST	Government	English	39222	12th	12th	Yes	Yes	Yes	6	13.7	1.6	73.5	8.3	Medium	85.2	56.2
959	School	Male	14	Rural	General	Government	English	57889	10th	12th	Yes	No	No	8	11.2	2.6	73.5	6.2	Medium	79.4	52.9
960	School	Male	18	Rural	SC	Private	Hindi	23899	Graduate	10th	No	No	No	5	16.7	3.4	69.8	5.8	Medium	90.8	60.2
961	School	Male	16	Rural	OBC	Government	Hindi	7599	12th	12th	No	No	Yes	5	11.6	3.7	71.8	5.9	Medium	83.3	47.8
962	School	Male	18	Rural	OBC	Private	Hindi	24778	10th	Graduate	Yes	No	Yes	6	9.6	3.7	87.3	6.2	Low	87.5	55.5
963	School	Male	16	Rural	OBC	Government	Hindi	6679	Graduate	10th	Yes	Yes	Yes	4	15.7	1.6	73.9	6.5	Low	85.5	54.4
964	School	Female	18	Urban	OBC	Government	English	7178	Graduate	10th	Yes	No	No	7	5.6	4.8	100	7.5	Low	98	65.9
965	School	Male	17	Urban	SC	Private	Hindi	7157	12th	10th	Yes	Yes	No	8	8.9	4.2	79.5	7.7	Low	93.5	62.8
966	School	Male	17	Rural	OBC	Government	English	23338	No School	12th	Yes	Yes	Yes	5	1.2	2.7	77.8	6.8	Medium	89.7	54.3
967	School	Female	17	Urban	General	Government	English	9608	Postgraduate	Graduate	Yes	Yes	No	7	4.2	1.1	73.2	8.8	Low	54.6	42.7
968	School	Female	16	Urban	General	Private	Hindi	7335	No School	12th	No	No	Yes	4	16.6	3.6	74.8	5.5	Low	85.2	49.8
969	School	Male	16	Urban	General	Government	Hindi	17818	12th	10th	Yes	Yes	No	5	10.9	2.1	76.1	7.8	Medium	72.5	46.5
970	School	Male	14	Urban	General	Government	English	49248	10th	No School	No	No	Yes	4	15.8	2.4	58.2	5.3	Low	69.8	35.8
971	School	Male	15	Rural	General	Government	Hindi	28461	Graduate	10th	Yes	No	No	5	5	4.3	87	6	Low	86.7	64.7
972	School	Male	17	Rural	OBC	Government	Hindi	8253	Graduate	No School	No	Yes	No	6	4.1	4.1	88.3	5.1	Low	87.5	62.5
973	School	Female	17	Rural	OBC	Government	Hindi	23482	12th	Graduate	Yes	Yes	No	5	15.8	0.5	69.6	6.9	Medium	79.4	52.8
974	School	Female	16	Urban	General	Government	Hindi	14386	No School	Graduate	No	Yes	No	6	15.3	2.4	77.8	5.5	Medium	78.9	48.8
975	School	Male	17	Urban	OBC	Government	English	19277	10th	10th	Yes	Yes	No	3	14.7	5.1	78.5	7.2	Medium	92.3	71.5
976	School	Female	14	Rural	General	Government	Hindi	4463	Graduate	10th	Yes	No	No	4	15.1	3.5	80	8.2	Medium	77.3	47.7
977	School	Male	14	Urban	General	Private	Hindi	80871	Graduate	No School	Yes	Yes	No	7	2.4	3.4	83.8	5.9	Low	77.3	63
978	School	Female	16	Urban	OBC	Government	Hindi	4912	12th	12th	No	Yes	No	6	10.4	5.4	77.6	7.8	Low	84.3	62.4
979	School	Male	17	Rural	ST	Government	English	49189	10th	No School	Yes	No	No	3	14.8	3	84.1	5.3	Low	64.9	42.2
980	School	Female	18	Urban	General	Private	English	44953	Graduate	12th	No	Yes	Yes	8	13.8	3.3	72	8.7	Low	89.4	54.5
981	School	Female	14	Rural	General	Government	Hindi	10526	10th	No School	Yes	Yes	Yes	7	11.7	2	73	7	Low	70.6	47.1
982	School	Male	17	Rural	OBC	Private	Hindi	48136	12th	10th	Yes	No	No	7	4.6	4.3	91.7	6.1	Low	91.3	63
983	School	Female	17	Urban	General	Government	English	34376	12th	Graduate	No	No	No	6	15.6	2.5	90	6.4	Low	91.9	57.2
984	School	Male	14	Rural	General	Government	Hindi	6552	No School	12th	Yes	No	Yes	4	9.9	1.8	69.2	8.9	Medium	73.8	37.8
985	School	Male	16	Urban	OBC	Government	Hindi	33993	Graduate	No School	Yes	Yes	No	8	7.2	3.5	80.2	5.3	Medium	89.3	64
986	School	Male	18	Urban	General	Government	Hindi	7892	10th	12th	Yes	Yes	Yes	7	2.4	3.6	94.7	6.4	Low	85.3	64.6
987	School	Male	18	Urban	General	Government	English	13526	Graduate	10th	Yes	No	No	3	13.8	4.4	72.6	5.5	Medium	98	64.5
988	School	Male	18	Rural	General	Government	Hindi	59470	No School	No School	Yes	Yes	No	3	14.6	4	76.7	6.3	Medium	95.4	57.1
989	School	Female	16	Rural	SC	Government	Hindi	41871	10th	No School	Yes	Yes	No	3	10.4	3.5	70	5.1	Medium	90.1	52.7
990	School	Female	17	Urban	OBC	Government	Hindi	21491	Graduate	12th	Yes	No	No	6	16.6	4	77.5	7.8	Low	93.6	52.3
991	School	Female	18	Rural	General	Government	English	24400	Graduate	10th	No	No	Yes	3	13.3	5.1	81.1	8.8	Medium	97.2	65.1
992	School	Female	18	Rural	General	Government	Hindi	20580	10th	12th	No	No	Yes	5	15	2.7	83.3	7.8	Low	91.8	50.5
993	School	Female	18	Urban	General	Government	English	23238	No School	No School	No	Yes	Yes	3	8.3	1.1	86.3	7.4	Medium	81	46
994	School	Male	15	Rural	General	Private	Hindi	27760	12th	10th	Yes	Yes	No	8	1.4	1.7	79	5.5	Low	72.3	49
995	School	Male	18	Rural	OBC	Government	Hindi	11703	10th	12th	Yes	Yes	Yes	5	16.2	5	70.4	6.2	Medium	92.9	60.1
996	School	Male	16	Rural	General	Government	Hindi	13181	Postgraduate	Graduate	No	No	No	5	15.9	5.1	77.3	8.2	Low	98	61.9
997	School	Male	18	Rural	OBC	Government	Hindi	17953	No School	Graduate	No	Yes	Yes	7	9.4	3.3	94.7	5.7	Medium	81.9	53
998	School	Male	18	Rural	SC	Government	Hindi	24613	10th	10th	Yes	Yes	Yes	8	10.8	3.4	78.8	8.7	Medium	85.2	66.3
999	School	Female	14	Rural	OBC	Government	English	23901	Postgraduate	Graduate	Yes	Yes	No	7	10.5	2.1	75.4	6.7	Low	75.5	56.9
1000	School	Male	17	Rural	SC	Government	Hindi	20296	10th	10th	Yes	Yes	No	6	6	2.6	87.5	6.2	Low	88.5	60
1001	School	Female	16	Rural	SC	Government	Hindi	10837	No School	No School	Yes	Yes	Yes	7	4.5	4.6	79.1	5.7	Medium	96.7	59.5
1002	School	Female	17	Rural	SC	Government	Hindi	40016	Postgraduate	Graduate	Yes	No	No	4	6.1	1.5	83.8	8.5	Low	77.9	55.2
1003	School	Male	14	Rural	General	Private	Hindi	25112	12th	10th	No	Yes	No	6	7.6	1.2	82.7	7.8	Medium	80.1	50.4
1004	School	Male	15	Urban	OBC	Private	Hindi	148286	12th	10th	No	No	Yes	8	14.6	3.1	75.4	8.1	Medium	78.1	54.1
1005	School	Female	14	Urban	OBC	Government	Hindi	42694	Graduate	No School	Yes	Yes	No	6	11	3.7	84.6	6.4	Low	91.8	65.7
1006	School	Male	18	Rural	OBC	Private	Hindi	41479	12th	12th	Yes	No	Yes	8	11.3	2	74.9	7.3	Low	93	57
1007	School	Male	14	Rural	General	Government	Hindi	40208	Graduate	10th	Yes	No	No	5	13.5	4.6	93.5	7.1	Medium	98	66.7
1008	School	Male	17	Rural	General	Private	English	11582	12th	No School	Yes	Yes	Yes	3	17.5	4.6	87.2	5.2	Low	98	66.4
1009	School	Male	16	Rural	OBC	Private	English	11599	12th	12th	Yes	Yes	Yes	7	13.6	4.2	94.6	6.8	Low	95.9	70.5
1010	School	Female	17	Rural	OBC	Private	Hindi	45113	12th	10th	Yes	Yes	No	7	3.7	0.5	77.5	7	Low	78.4	48.8
1011	School	Male	17	Urban	General	Government	English	17765	Graduate	12th	Yes	No	No	8	4.5	4.8	82.3	5.3	Low	79.6	59.4
1012	School	Male	18	Rural	SC	Government	Hindi	69179	No School	Graduate	Yes	No	No	4	11.2	2.8	62.8	7.8	Low	84.5	50.4
1013	School	Female	14	Urban	OBC	Government	Hindi	26361	10th	10th	Yes	Yes	No	6	3.3	0.5	72.6	5.8	Low	70.4	43.8
1014	School	Male	16	Rural	General	Government	Hindi	11379	10th	No School	Yes	No	No	7	14.2	2.6	84.8	6.1	Low	86.9	55.5
1015	School	Female	14	Rural	SC	Private	Hindi	14074	10th	No School	Yes	Yes	Yes	7	11.7	6.4	89.8	5.7	Medium	98	63.8
1016	School	Male	15	Rural	OBC	Government	Hindi	6351	10th	12th	Yes	Yes	No	4	12.5	3.4	77.3	8.8	Medium	79.7	60.4
1017	School	Male	15	Rural	General	Private	Hindi	22187	Graduate	Graduate	Yes	No	No	6	16.1	2.6	86.5	8.7	Low	73	53.8
1018	School	Female	14	Rural	OBC	Government	Hindi	4831	Graduate	No School	Yes	Yes	No	5	12.6	2.6	82.1	5.3	Low	65.1	50.5
1019	School	Male	16	Rural	General	Government	Hindi	7610	10th	Graduate	Yes	Yes	Yes	6	1.5	2.9	89.8	7.3	Low	77	63.4
1020	School	Female	18	Urban	OBC	Government	Hindi	10522	12th	No School	No	No	Yes	4	6.5	3.9	82.8	6.4	Low	79.5	52.5
1021	School	Male	16	Urban	General	Private	English	49238	Graduate	10th	Yes	Yes	No	8	4.2	2.4	87.1	6	Low	98	69
1022	School	Male	16	Rural	SC	Private	English	24438	12th	No School	No	No	No	5	8.3	2	81.8	8.6	Low	79.3	40
1023	School	Female	18	Rural	SC	Government	Hindi	63070	10th	Graduate	Yes	No	Yes	6	7.7	3	73.2	7.8	Medium	84.1	56.9
1024	School	Male	14	Urban	SC	Government	English	43543	12th	Graduate	No	Yes	Yes	6	8.7	4.4	83.3	8.5	Low	98	64.9
1025	School	Male	18	Rural	OBC	Private	Hindi	44618	No School	10th	Yes	Yes	No	7	6.5	4.3	84.7	5.5	Medium	98	64.8
1026	School	Female	14	Rural	General	Government	English	18829	No School	No School	Yes	Yes	Yes	3	9.3	3.3	67.7	7.2	Medium	75.3	51
1027	School	Female	16	Rural	OBC	Government	English	49449	No School	10th	Yes	Yes	No	3	7.6	3.4	85.8	8.2	Low	78.4	55.5
1028	School	Male	17	Rural	SC	Government	English	4351	Graduate	No School	No	Yes	No	3	8.5	4	76.5	7.7	Medium	95.7	59.8
1029	School	Male	18	Urban	General	Government	Hindi	5779	Graduate	No School	Yes	Yes	No	8	16.5	2.8	71.6	8.2	Medium	72.5	45.8
1030	School	Female	14	Urban	General	Government	Hindi	9231	10th	No School	Yes	No	Yes	4	12.8	4.8	74.8	5.1	Low	98	58.5
1031	School	Male	18	Urban	General	Government	English	54423	12th	10th	Yes	Yes	Yes	6	13.8	3.9	80.6	5.9	Medium	98	64.9
1032	School	Male	15	Urban	OBC	Government	English	11837	12th	10th	No	No	Yes	7	17.1	5.2	71	5.6	Medium	94.6	64.7
1033	School	Male	14	Rural	OBC	Private	Hindi	28767	No School	10th	Yes	No	No	5	13.7	4.8	84.3	5.6	Medium	98	52.8
1034	School	Female	16	Rural	SC	Private	Hindi	5367	Graduate	12th	No	No	Yes	3	4.2	3.7	71.8	6	Low	76.5	46.5
1035	School	Female	18	Rural	OBC	Government	Hindi	74601	Graduate	12th	No	Yes	No	5	0.8	3.8	71.3	7.3	Low	81.4	56.3
1036	School	Female	18	Rural	OBC	Private	Hindi	36672	10th	12th	No	No	No	4	9.7	4.1	81	7.5	Medium	98	51.5
1037	School	Male	15	Rural	OBC	Government	English	7225	10th	Graduate	No	No	No	7	12.4	4.9	75.7	7.3	Low	84.1	48.8
1038	School	Female	18	Urban	OBC	Government	English	13130	10th	12th	Yes	Yes	Yes	4	10.1	2.9	82.4	7.9	Low	97.6	61.5
1039	School	Female	16	Urban	General	Private	English	5113	10th	10th	No	Yes	Yes	3	16.3	0.5	70.5	6.8	Low	70.2	35.3
1040	School	Male	15	Urban	ST	Government	English	9755	12th	12th	Yes	Yes	No	4	4.8	4.8	88.1	8.2	Medium	79.7	60.3
1041	School	Male	16	Urban	OBC	Government	Hindi	8819	No School	10th	Yes	No	No	5	15.3	3.8	64.6	6	Medium	92.6	52.1
1042	School	Female	17	Urban	OBC	Private	English	20857	Graduate	No School	Yes	No	No	4	16.9	2	73.6	6.6	Low	79.5	47.2
1043	School	Female	18	Urban	General	Private	Hindi	7484	Graduate	10th	Yes	No	No	5	13.4	1.1	70.4	8.2	Low	71.3	40.7
1044	School	Female	17	Rural	OBC	Government	Hindi	13817	12th	10th	Yes	No	No	5	12.7	3.4	83.9	6.8	Low	77.4	54.4
1045	School	Female	14	Urban	OBC	Government	Hindi	51471	Graduate	10th	Yes	Yes	No	6	2.3	1.2	75.8	5.5	Low	66.7	47.3
1046	School	Male	17	Rural	General	Private	Hindi	4401	10th	10th	Yes	Yes	No	7	7	2.2	78	5.6	Medium	81.5	55.3
1047	School	Female	18	Urban	General	Government	English	29323	12th	Postgraduate	Yes	Yes	No	7	15.9	2.5	59	5.9	Low	89.9	54.9
1048	School	Male	14	Urban	ST	Private	English	7687	Graduate	Graduate	Yes	No	No	7	3	3.5	94.4	8.2	Low	98	64.4
1049	School	Female	17	Urban	General	Government	Hindi	6881	12th	12th	No	No	Yes	4	6.3	2	70.9	5.3	Low	79.4	43.6
1050	School	Female	17	Urban	General	Government	English	48941	Graduate	10th	Yes	Yes	Yes	7	6.6	2.5	68.3	7.4	Medium	87.5	56.8
1051	School	Female	14	Rural	General	Government	Hindi	15603	Graduate	10th	No	No	No	5	5.6	3.2	74.5	5.3	Medium	88.6	52.6
1052	School	Female	16	Urban	OBC	Private	English	31150	10th	Graduate	No	Yes	No	8	14.1	3.5	84.2	8.7	Low	97.1	60.2
1053	School	Male	14	Rural	OBC	Government	Hindi	4983	No School	No School	Yes	No	No	8	9.9	3.9	74.4	5.4	Low	88.7	47
1054	School	Female	15	Rural	General	Private	Hindi	8681	10th	12th	No	Yes	No	3	4.6	4	100	5.8	Low	98	69.7
1055	School	Female	14	Urban	OBC	Government	Hindi	86243	10th	No School	Yes	Yes	No	4	12.5	2.1	74.7	8.8	Low	82.7	55.8
1056	School	Female	17	Rural	OBC	Government	English	36944	10th	Graduate	Yes	No	No	3	9.2	2.3	84.2	8.4	Low	87	60.6
1057	School	Male	15	Urban	ST	Private	Hindi	22855	Graduate	10th	Yes	No	No	4	9.4	2.7	78.6	6.5	Low	85.8	52.7
1058	School	Male	18	Urban	General	Government	Hindi	64711	12th	10th	Yes	Yes	Yes	6	1.1	0.9	76.3	7.9	Low	72.8	55.5
1059	School	Male	18	Rural	General	Government	Hindi	24004	10th	Graduate	Yes	No	No	6	3.1	2	85.7	8.2	Low	75.1	51
1060	School	Male	14	Urban	General	Government	Hindi	28022	Postgraduate	10th	Yes	No	Yes	4	6.5	3.3	93	5.2	Medium	92.4	69.7
1061	School	Female	14	Urban	OBC	Government	English	16651	10th	10th	Yes	Yes	No	6	2.8	3.5	87.4	8.3	Medium	79.6	64.4
1062	School	Male	17	Rural	General	Government	English	44555	Graduate	No School	Yes	Yes	No	8	2.3	3.2	88.8	7.3	Medium	86.3	56.4
1063	School	Male	15	Rural	SC	Government	English	75599	10th	No School	No	Yes	Yes	7	12.7	4.3	79.7	8.2	Low	82.2	60.2
1064	School	Female	17	Rural	OBC	Government	Hindi	32525	10th	12th	Yes	Yes	No	6	7	1.3	72.3	6.1	Low	89.4	61.8
1065	School	Female	15	Urban	OBC	Government	Hindi	9994	10th	Graduate	Yes	No	No	7	17.9	3	71.9	6	Low	79	60.4
1066	School	Female	18	Rural	ST	Private	Hindi	16360	No School	12th	Yes	No	Yes	4	11.9	5.6	82.3	5.6	Medium	98	63.5
1067	School	Female	14	Rural	SC	Private	Hindi	42899	10th	No School	Yes	Yes	No	8	9.5	2	82.3	8.7	Low	95	58.7
1068	School	Female	16	Rural	OBC	Private	Hindi	86397	10th	Graduate	No	No	Yes	6	9.8	4.8	96.3	5.2	Low	88.1	68
1069	School	Female	17	Rural	OBC	Private	English	17031	Graduate	10th	Yes	Yes	Yes	4	8.6	2.3	96.9	7.7	Low	95.5	71.5
1070	School	Female	18	Rural	OBC	Government	Hindi	16316	Postgraduate	No School	Yes	Yes	No	4	11.8	1	69.8	6.3	Low	63.3	39.6
1071	School	Male	15	Rural	General	Government	Hindi	17933	No School	No School	Yes	Yes	No	5	15.4	5.1	76.6	5.7	Low	96.1	64.5
1072	School	Male	17	Urban	SC	Government	Hindi	13705	12th	12th	Yes	Yes	Yes	4	8.8	2.9	64.2	5.3	Medium	83.6	54.1
1073	School	Male	17	Urban	General	Government	Hindi	22938	12th	12th	Yes	No	Yes	4	5.2	5.1	95.3	5.8	Low	93.7	63.8
1074	School	Female	14	Rural	General	Government	Hindi	26102	10th	Graduate	Yes	No	No	8	14.4	2.1	63.8	7.8	Low	72.1	49.7
1075	School	Male	14	Rural	General	Government	English	42948	Graduate	No School	Yes	No	Yes	6	4	5.9	99.3	8.3	Low	98	67.1
1076	School	Female	17	Urban	General	Government	Hindi	38183	12th	12th	Yes	Yes	Yes	4	17.7	2.8	72.9	5.2	Medium	81.8	57.4
1077	School	Male	14	Rural	OBC	Government	English	31280	Postgraduate	10th	Yes	Yes	No	5	12.1	5	79.2	6.7	Low	94.9	77.1
1078	School	Male	14	Rural	OBC	Government	English	12771	10th	10th	Yes	No	No	7	14.6	3.5	71	8.4	Low	94.8	62.4
1079	School	Female	14	Urban	General	Private	Hindi	38064	10th	No School	Yes	Yes	No	5	6.1	3.7	96.2	6.3	Low	94	67.5
1080	School	Female	14	Rural	General	Government	Hindi	10120	No School	12th	Yes	Yes	No	3	7	4.3	85.4	6.3	Low	95.9	64.7
1081	School	Female	16	Rural	OBC	Private	Hindi	14989	Postgraduate	Postgraduate	Yes	No	No	6	4.9	2	81.8	5.9	Low	81.5	61.2
1082	School	Female	14	Rural	OBC	Government	Hindi	19804	12th	Graduate	Yes	Yes	Yes	7	10	3.2	80.1	6.7	Medium	68.2	51
1083	School	Female	14	Rural	General	Government	English	17179	No School	Graduate	Yes	Yes	Yes	5	2.9	4.9	75.9	8.9	Low	92.6	74.3
1084	School	Male	15	Urban	General	Private	Hindi	7909	12th	Postgraduate	No	Yes	No	8	2.2	1.1	62.7	6.1	Low	65.3	42.8
1085	School	Male	18	Rural	General	Private	English	18911	Graduate	No School	Yes	No	Yes	5	11.6	4.4	72.6	8.4	Medium	95	56.5
1086	School	Male	16	Rural	General	Government	Hindi	10592	No School	No School	Yes	Yes	No	7	16.9	4.6	84.1	8.9	Medium	97.9	63.6
1087	School	Female	15	Rural	ST	Private	Hindi	13597	Graduate	12th	Yes	Yes	Yes	4	15.2	3.5	72	7.8	Low	90.4	61.1
1088	School	Male	14	Rural	General	Private	Hindi	18164	12th	No School	Yes	No	No	3	14.6	2.3	77.9	8.3	Medium	77.4	45.1
1089	School	Female	15	Urban	OBC	Government	Hindi	84207	12th	Graduate	Yes	Yes	No	5	8.3	1.7	64.1	6.6	Medium	76.4	50.3
1090	School	Female	17	Urban	OBC	Government	Hindi	7932	Postgraduate	10th	No	Yes	No	7	16.2	2.9	56.1	7.2	Low	77.3	52.3
1091	School	Male	18	Rural	OBC	Private	Hindi	16170	12th	Graduate	No	Yes	Yes	3	8.6	4.1	84.3	7.8	Low	73.3	55.1
1092	School	Female	17	Urban	OBC	Government	English	94257	12th	12th	Yes	No	No	3	17.3	1.3	68.4	6.6	Low	78.9	39.7
1093	School	Male	16	Rural	General	Government	Hindi	48976	Graduate	10th	Yes	No	No	7	8.1	4.2	82.8	7.1	Medium	90.2	65.6
1094	School	Female	16	Urban	ST	Government	Hindi	49646	No School	No School	Yes	Yes	No	6	8.9	3.7	74.1	7.4	Low	94.4	58.1
1095	School	Female	17	Rural	OBC	Private	Hindi	13708	No School	12th	Yes	No	No	3	12.1	2.6	81.6	5.6	Low	83.3	35.2
1096	School	Male	15	Urban	General	Government	English	7647	Graduate	10th	Yes	No	No	4	4.8	4	92.4	5.4	Medium	83.7	60.5
1097	School	Female	17	Urban	OBC	Private	Hindi	49698	10th	10th	Yes	Yes	No	4	15.2	2.5	61.7	5.6	Low	61.4	35.2
1098	School	Female	14	Rural	OBC	Government	Hindi	45508	Graduate	12th	Yes	No	No	3	4.1	2.9	90.4	6.6	Low	98	65.7
1099	School	Male	17	Rural	OBC	Government	Hindi	16398	12th	10th	No	Yes	No	7	17	1.3	74.1	6.4	Low	62.4	38.3
1100	School	Female	17	Urban	ST	Private	Hindi	13584	No School	10th	No	No	Yes	5	2.2	0.7	66.1	6.5	Low	56.6	32.2
1101	School	Female	16	Rural	SC	Government	English	64829	12th	10th	No	Yes	No	8	8.4	4.9	76.4	8.6	Low	95.2	60.8
1102	School	Female	15	Rural	OBC	Government	English	21467	Graduate	10th	Yes	No	No	8	13.5	3.7	90.5	7.8	Medium	86.7	57.7
1103	School	Female	15	Rural	OBC	Private	Hindi	17319	Postgraduate	No School	No	Yes	No	8	5.2	2.8	74.7	8.3	Medium	93.7	56.4
1104	School	Female	16	Rural	OBC	Government	English	6692	12th	Graduate	Yes	No	No	7	7.7	1.8	75.5	7.1	Low	69.8	51.4
1105	School	Female	14	Rural	OBC	Private	Hindi	35341	Graduate	10th	Yes	No	Yes	8	16.8	3.8	72.5	5.7	Low	79.4	50.8
1106	School	Male	17	Rural	OBC	Private	English	11152	No School	12th	Yes	Yes	No	5	17.9	3.7	70.1	6.6	Medium	82.8	50.5
1107	School	Male	16	Rural	OBC	Private	English	21415	12th	Graduate	No	Yes	No	5	2.8	5.7	85	6.3	Low	98	73.8
1108	School	Female	18	Urban	OBC	Private	English	11985	12th	10th	Yes	No	Yes	7	6.8	4.9	90.5	6.1	Low	94.9	61.7
1109	School	Male	17	Urban	SC	Private	Hindi	44715	Graduate	12th	Yes	Yes	Yes	7	15.6	2.7	72.9	7.2	Low	85.6	57.8
1110	School	Female	17	Urban	SC	Government	Hindi	34412	Graduate	10th	Yes	Yes	Yes	4	13.8	5.5	79.8	8.6	Low	98	76.7
