Student_ID,Education_Level,Gender,Age,Location,Category,Institute_Type,Medium,Monthly_Income_INR,Father_Education,Mother_Education,Internet_Access,Smartphone_Available,Laptop_Available,Tuition_Classes,Scholarship,Family_Size,Distance_To_Institute_KM,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Stress_Level,Previous_Percentage,Final_Percentage
975,College,Female,24,Urban,OBC,Government,English,11778,Postgraduate,12th,Yes,Yes,Yes,Yes,No,5,0.7,4.0,75.3,6.8,Medium,83.8,38.7
976,College,Female,17,Urban,OBC,Private,English,72327,12th,10th,Yes,Yes,No,Yes,No,4,17.0,5.3,70.1,5.6,Low,93.8,52.6
977,College,Female,22,Urban,SC,Government,Hindi,41167,Graduate,10th,Yes,Yes,No,Yes,Yes,4,17.6,5.0,79.3,5.5,Medium,96.7,50.4
978,College,Male,19,Urban,SC,Private,English,25145,Graduate,10th,Yes,Yes,No,No,No,3,10.1,2.9,78.2,5.6,Medium,76.5,39.2
979,College,Male,23,Urban,SC,Private,Hindi,15362,Postgraduate,12th,Yes,Yes,Yes,No,No,8,14.7,2.7,64.8,5.6,Medium,73.0,37.2
980,College,Male,21,Rural,General,Government,English,5675,Postgraduate,12th,No,Yes,No,Yes,No,3,14.7,2.2,65.0,4.7,Medium,73.8,30.0
981,College,Female,17,Rural,SC,Government,Hindi,16347,10th,10th,Yes,Yes,No,Yes,Yes,3,11.1,0.5,64.5,5.6,Low,74.3,30.0
982,College,Male,20,Rural,SC,Government,Hindi,14254,12th,12th,Yes,Yes,Yes,Yes,No,8,10.5,3.0,72.3,4.6,Low,83.7,40.7
983,College,Female,23,Rural,OBC,Government,Hindi,48740,10th,12th,Yes,Yes,Yes,Yes,Yes,3,3.8,2.3,88.0,5.6,Low,88.9,43.8
984,College,Male,17,Rural,OBC,Private,Hindi,35102,Postgraduate,10th,Yes,Yes,Yes,Yes,No,7,2.8,3.5,66.8,4.8,Low,74.2,38.4
985,College,Male,22,Rural,SC,Government,Hindi,40237,Postgraduate,10th,Yes,Yes,No,Yes,No,8,11.6,1.9,51.2,4.8,Low,81.8,38.3
986,College,Male,24,Rural,ST,Government,English,18005,No School,10th,No,Yes,Yes,No,Yes,8,16.1,6.1,92.2,5.6,High,93.1,46.4
987,College,Female,20,Rural,OBC,Private,Hindi,17410,Postgraduate,12th,Yes,Yes,Yes,Yes,Yes,3,10.9,3.1,70.2,7.1,Low,78.6,38.3
988,College,Male,22,Rural,ST,Government,English,15632,10th,No School,Yes,Yes,No,Yes,No,5,18.6,3.3,69.5,8.4,Medium,71.8,36.3
989,College,Male,22,Rural,SC,Government,Hindi,95020,12th,10th,Yes,Yes,No,Yes,No,6,18.0,4.4,68.3,6.6,Low,98.0,57.0
990,College,Female,20,Urban,OBC,Private,Hindi,4613,Graduate,Graduate,Yes,Yes,No,Yes,No,7,1.9,4.4,85.7,4.7,Medium,80.5,34.0
991,College,Female,22,Rural,SC,Government,Hindi,20658,No School,10th,Yes,Yes,No,Yes,Yes,3,6.2,4.6,79.1,8.5,Low,92.5,41.9
992,College,Female,22,Rural,General,Government,Hindi,9040,10th,Graduate,Yes,Yes,No,Yes,Yes,8,4.2,4.7,83.9,8.3,Low,98.0,44.1
993,College,Female,19,Rural,OBC,Private,Hindi,8761,12th,Graduate,Yes,Yes,No,No,No,6,8.1,0.9,59.3,4.8,High,54.6,30.0
994,College,Female,17,Urban,SC,Private,English,19300,Graduate,10th,Yes,Yes,Yes,Yes,No,3,13.9,1.4,70.7,5.7,Low,71.9,35.9
995,College,Female,17,Urban,OBC,Private,Hindi,42678,10th,Graduate,Yes,Yes,No,Yes,No,6,1.1,2.3,66.6,7.7,Medium,84.9,35.3
996,College,Male,18,Rural,ST,Government,Hindi,26769,No School,10th,No,Yes,Yes,No,Yes,5,16.7,0.7,48.0,4.8,Medium,63.7,30.0
997,College,Male,17,Rural,General,Private,Hindi,17059,12th,Postgraduate,Yes,Yes,No,Yes,No,7,10.1,2.3,66.0,6.9,Low,66.7,30.7
998,College,Female,17,Rural,OBC,Private,English,7915,10th,No School,Yes,Yes,No,Yes,No,7,11.1,4.5,97.2,6.8,Medium,88.7,38.1
999,College,Male,17,Rural,SC,Private,Hindi,67150,Graduate,10th,Yes,Yes,No,Yes,No,4,15.6,5.4,62.7,8.8,Low,91.5,47.5
1000,College,Female,24,Urban,General,Government,Hindi,8026,10th,12th,Yes,Yes,Yes,Yes,No,4,10.1,2.8,63.5,8.7,Medium,80.2,34.4
1001,College,Male,21,Urban,OBC,Government,English,69462,No School,12th,Yes,Yes,Yes,No,No,7,12.8,3.6,71.4,8.2,Low,89.6,46.2
1002,College,Female,20,Rural,OBC,Private,English,21955,12th,10th,Yes,Yes,Yes,Yes,No,7,14.3,3.3,70.5,5.4,Low,77.7,38.5
1003,College,Male,24,Urban,OBC,Private,Hindi,22258,Postgraduate,No School,Yes,Yes,No,Yes,No,8,1.0,0.5,76.8,7.9,Medium,69.3,30.1
1004,College,Male,23,Urban,OBC,Private,English,23491,Graduate,12th,Yes,Yes,No,No,No,3,12.8,4.9,79.8,7.2,Low,85.4,40.0
1005,College,Male,17,Urban,General,Government,Hindi,58414,10th,12th,Yes,Yes,Yes,No,No,8,19.1,3.7,66.8,8.4,Low,76.2,38.0
1006,College,Male,17,Rural,OBC,Government,Hindi,12985,No School,10th,No,Yes,No,No,Yes,7,8.7,2.3,73.3,7.4,Medium,83.0,30.0
1007,College,Male,22,Urban,SC,Government,Hindi,8620,12th,12th,Yes,Yes,Yes,Yes,No,3,6.6,3.0,92.4,6.0,Medium,87.1,37.2
1008,College,Male,23,Rural,SC,Private,English,16933,No School,10th,Yes,Yes,No,Yes,No,7,8.2,1.5,69.5,7.1,Low,78.7,31.4
1009,College,Male,17,Urban,ST,Government,Hindi,18114,No School,12th,Yes,Yes,Yes,No,No,3,18.0,5.3,80.5,4.5,Low,69.8,40.3
1010,College,Female,22,Urban,General,Government,Hindi,15282,Postgraduate,Graduate,Yes,Yes,No,Yes,No,6,12.4,4.7,70.1,8.2,Low,76.8,37.1
1011,College,Female,19,Rural,OBC,Private,Hindi,36529,12th,10th,No,Yes,Yes,No,No,7,8.9,2.6,78.7,5.4,Medium,89.8,36.0
1012,College,Male,22,Urban,SC,Government,Hindi,9955,Graduate,10th,Yes,No,No,Yes,Yes,4,0.9,6.2,68.8,4.9,Medium,98.0,40.6
1013,College,Male,20,Rural,General,Government,Hindi,46725,No School,10th,Yes,No,No,No,No,4,14.8,2.2,76.3,8.0,Low,70.9,30.5
1014,College,Female,20,Urban,ST,Private,Hindi,37559,12th,Postgraduate,Yes,Yes,Yes,No,Yes,6,17.4,3.8,79.9,5.1,Medium,90.8,41.3
1015,College,Female,24,Urban,General,Private,English,6667,Graduate,No School,Yes,No,Yes,No,Yes,5,5.0,4.0,87.4,5.0,Medium,88.3,44.2
1016,College,Female,17,Rural,OBC,Government,English,87211,10th,Postgraduate,Yes,Yes,No,Yes,Yes,5,6.6,4.4,74.6,5.6,Low,89.1,48.5
1017,College,Female,20,Rural,OBC,Private,English,40634,12th,No School,Yes,Yes,No,Yes,No,5,16.0,5.7,87.0,8.0,Low,98.0,44.8
1018,College,Female,19,Urban,ST,Government,English,15984,10th,12th,Yes,Yes,No,Yes,No,5,7.3,3.5,74.9,8.8,Medium,83.0,44.1
1019,College,Female,21,Rural,OBC,Private,Hindi,13779,No School,12th,No,Yes,Yes,No,No,5,7.9,3.1,72.7,6.6,Medium,86.1,30.6
1020,College,Female,24,Rural,General,Government,Hindi,11418,12th,12th,Yes,Yes,Yes,Yes,Yes,5,19.9,1.8,64.3,4.7,Medium,72.3,30.0
1021,College,Male,19,Urban,OBC,Government,Hindi,37096,10th,Graduate,Yes,Yes,Yes,No,Yes,5,17.9,2.5,77.0,6.5,Low,77.4,38.1
1022,College,Male,18,Urban,General,Government,Hindi,98977,Postgraduate,10th,Yes,No,No,Yes,Yes,8,18.1,3.4,77.9,7.5,Low,97.1,50.5
1023,College,Female,20,Urban,OBC,Private,Hindi,89180,10th,12th,Yes,Yes,Yes,No,Yes,7,7.4,2.0,66.4,4.5,Low,92.8,48.7
1024,College,Male,20,Rural,General,Private,Hindi,23443,12th,12th,Yes,Yes,No,Yes,No,7,7.5,2.9,76.3,5.7,Medium,70.3,32.5
1025,College,Female,22,Urban,General,Government,English,50668,No School,Graduate,Yes,Yes,No,Yes,No,7,9.6,5.6,94.5,6.9,Low,98.0,50.1
1026,College,Female,23,Rural,General,Private,Hindi,60670,12th,No School,No,Yes,No,No,No,7,4.4,2.5,69.1,6.3,Low,72.1,34.4
1027,College,Male,18,Rural,General,Government,English,19025,12th,Graduate,Yes,Yes,Yes,Yes,Yes,8,9.5,3.5,83.2,4.8,Medium,98.0,42.3
1028,College,Male,17,Urban,OBC,Government,English,74415,10th,10th,Yes,Yes,No,No,Yes,7,5.8,3.5,75.2,7.2,Low,98.0,49.6
1029,College,Male,20,Rural,SC,Government,Hindi,20304,Graduate,Graduate,Yes,Yes,No,No,No,5,2.4,4.0,77.1,5.8,Low,80.0,33.7
1030,College,Male,17,Urban,General,Private,Hindi,26068,10th,10th,No,Yes,Yes,No,Yes,8,7.7,2.4,68.1,6.1,Low,71.3,31.8
1031,College,Female,21,Urban,OBC,Government,Hindi,17473,Graduate,No School,Yes,Yes,Yes,No,Yes,6,6.9,2.0,79.8,5.7,Medium,73.9,30.1
1032,College,Male,21,Rural,ST,Government,English,19762,No School,10th,Yes,Yes,No,No,Yes,4,16.1,2.9,78.8,6.6,Low,84.9,35.5
1033,College,Male,21,Urban,General,Government,Hindi,10590,Postgraduate,10th,Yes,No,No,No,No,7,16.6,1.7,73.8,6.2,Low,82.4,32.5
1034,College,Male,20,Urban,General,Government,Hindi,96964,10th,12th,Yes,Yes,No,No,No,4,17.4,3.1,57.2,5.2,Medium,91.4,50.7
1035,College,Male,18,Urban,ST,Government,Hindi,16953,10th,10th,No,Yes,Yes,No,No,3,8.8,4.0,70.6,4.9,Low,66.8,31.1
1036,College,Male,22,Urban,OBC,Private,Hindi,8931,12th,Graduate,No,Yes,No,Yes,No,7,1.4,3.1,73.1,5.8,Low,67.8,30.5
1037,College,Female,21,Rural,SC,Government,English,14255,Postgraduate,Graduate,No,Yes,Yes,Yes,No,5,2.7,5.4,75.5,6.1,Low,89.4,35.7
1038,College,Female,17,Rural,OBC,Government,English,16658,10th,12th,Yes,Yes,Yes,Yes,Yes,7,18.6,1.8,62.6,8.4,Low,80.8,34.9
1039,College,Male,24,Rural,OBC,Government,English,12081,10th,10th,Yes,Yes,Yes,Yes,No,6,15.1,3.6,66.6,5.0,Medium,76.9,34.7
1040,College,Male,23,Rural,General,Government,English,32679,10th,Graduate,No,Yes,Yes,Yes,Yes,4,8.3,2.3,72.5,5.8,Medium,96.1,38.5
1041,College,Male,21,Rural,SC,Private,English,35054,12th,12th,Yes,Yes,No,Yes,No,7,8.5,2.9,70.6,6.9,Medium,83.1,36.7
1042,College,Male,22,Urban,ST,Government,Hindi,25202,No School,10th,Yes,Yes,No,Yes,No,6,15.7,2.6,56.3,7.9,Low,67.8,30.0
1043,College,Male,21,Urban,SC,Private,Hindi,88759,Graduate,Graduate,Yes,Yes,Yes,Yes,No,6,19.5,4.8,80.7,6.9,Low,98.0,54.1
1044,College,Female,17,Rural,OBC,Government,Hindi,39879,10th,12th,Yes,Yes,No,Yes,No,5,9.3,4.1,92.1,7.2,Low,95.6,40.8
1045,College,Female,19,Rural,General,Private,Hindi,42498,No School,Graduate,No,Yes,No,No,No,7,18.7,5.2,84.8,5.7,Medium,96.1,34.8
1046,College,Male,19,Rural,ST,Government,Hindi,36013,Graduate,Graduate,Yes,Yes,No,No,Yes,4,0.6,3.7,90.1,8.2,Medium,77.9,40.0
1047,College,Female,20,Rural,OBC,Private,Hindi,7208,12th,12th,Yes,Yes,Yes,Yes,Yes,5,1.2,3.3,71.6,7.2,Low,68.9,34.5
1048,College,Female,20,Urban,SC,Government,English,54759,12th,12th,No,Yes,Yes,No,No,7,7.0,5.1,78.1,9.0,Medium,81.8,44.5
1049,College,Male,17,Rural,SC,Government,Hindi,36233,10th,Graduate,Yes,Yes,No,Yes,No,4,16.2,2.9,56.7,8.9,Low,95.8,39.2
1050,College,Male,19,Urban,OBC,Private,Hindi,15186,Postgraduate,10th,Yes,Yes,Yes,No,No,4,9.3,0.6,64.4,7.2,Medium,76.8,30.0
1051,College,Female,20,Rural,General,Government,Hindi,6618,10th,10th,Yes,Yes,No,Yes,No,8,18.7,4.7,73.4,8.9,Low,81.0,37.7
1052,College,Male,23,Urban,General,Private,English,20337,12th,12th,Yes,Yes,No,Yes,No,5,15.2,1.6,56.8,8.9,Low,76.4,30.0
1053,College,Female,20,Rural,General,Government,Hindi,123036,Graduate,No School,Yes,Yes,No,Yes,No,8,10.1,3.2,74.3,8.5,Medium,93.9,51.0
1054,College,Male,21,Urban,OBC,Private,English,35625,10th,10th,Yes,Yes,Yes,Yes,Yes,8,0.9,1.2,69.4,8.1,Medium,65.1,35.6
1055,College,Female,24,Urban,OBC,Private,English,24251,No School,Graduate,Yes,Yes,Yes,No,No,7,14.1,5.3,74.7,5.5,Medium,89.7,44.3
1056,College,Female,21,Rural,General,Government,Hindi,6347,10th,10th,Yes,Yes,Yes,Yes,Yes,4,18.4,5.5,66.1,5.4,Medium,79.3,40.3
1057,College,Female,18,Rural,General,Private,English,154265,12th,No School,Yes,Yes,Yes,Yes,Yes,7,8.9,6.0,91.9,5.7,Medium,98.0,62.5
1058,College,Male,22,Urban,SC,Government,Hindi,78507,12th,10th,Yes,Yes,Yes,Yes,No,7,15.3,4.8,86.5,8.0,Low,98.0,53.0
1059,College,Male,19,Rural,OBC,Private,Hindi,78048,Graduate,10th,No,Yes,No,No,No,4,13.2,3.2,81.9,7.9,Low,93.7,41.6
1060,College,Male,22,Rural,General,Government,English,38320,10th,Postgraduate,Yes,No,No,Yes,No,7,11.3,3.7,71.1,5.3,Medium,84.2,36.9
1061,College,Male,19,Rural,General,Private,English,8622,10th,Graduate,No,No,No,Yes,Yes,6,11.4,6.7,72.8,7.5,High,94.2,34.9
1062,College,Female,22,Urban,SC,Private,Hindi,16771,12th,No School,Yes,Yes,No,No,Yes,5,12.2,3.3,61.4,4.8,Low,68.5,30.7
1063,College,Female,17,Rural,OBC,Private,Hindi,19248,Graduate,12th,Yes,Yes,No,Yes,No,8,16.2,1.9,73.0,8.9,Medium,75.8,34.9
1064,College,Male,18,Urban,OBC,Government,Hindi,82291,10th,Graduate,Yes,Yes,Yes,No,No,4,10.8,3.5,71.4,7.9,Low,86.1,47.3
1065,College,Female,24,Urban,OBC,Government,English,99956,No School,10th,No,Yes,Yes,Yes,No,7,7.1,6.9,80.2,5.0,Medium,98.0,58.0
1066,College,Female,24,Rural,SC,Government,English,46791,12th,12th,Yes,Yes,Yes,No,Yes,4,14.0,2.8,80.0,7.8,Low,85.5,42.7
1067,College,Female,22,Urban,General,Government,Hindi,12443,Graduate,Graduate,Yes,Yes,Yes,No,No,8,4.3,2.6,69.9,7.6,Medium,82.0,30.0
1068,College,Female,24,Rural,SC,Government,Hindi,19505,12th,10th,Yes,No,No,Yes,No,5,6.8,3.1,70.1,6.1,Low,92.7,41.6
1069,College,Male,24,Rural,OBC,Private,Hindi,13434,12th,No School,Yes,Yes,No,No,No,3,9.0,3.7,75.9,7.6,Medium,89.1,32.5
1070,College,Female,20,Rural,SC,Government,Hindi,12276,10th,Postgraduate,Yes,Yes,Yes,Yes,No,7,7.0,4.5,89.2,8.3,Low,86.0,46.1
1071,College,Male,21,Urban,OBC,Private,Hindi,17897,Graduate,No School,Yes,No,Yes,Yes,No,6,9.1,1.7,62.8,6.7,Low,88.2,38.7
1072,College,Female,24,Rural,SC,Government,Hindi,17814,10th,No School,No,Yes,Yes,Yes,Yes,8,13.3,3.4,84.0,5.7,Low,79.9,36.0
1073,College,Male,21,Urban,General,Government,Hindi,9124,10th,12th,Yes,No,Yes,Yes,Yes,5,9.9,4.0,74.1,5.2,Medium,79.9,36.6
1074,College,Female,18,Urban,General,Government,Hindi,5683,12th,No School,Yes,Yes,No,Yes,No,6,7.7,1.7,66.4,8.4,Low,71.3,30.0
1075,College,Female,18,Rural,OBC,Government,Hindi,12418,12th,12th,No,No,Yes,No,No,4,19.5,4.1,73.6,6.4,Low,78.8,34.2
1076,College,Male,20,Urban,General,Government,English,32902,10th,12th,Yes,Yes,No,No,No,4,5.8,5.1,69.0,8.9,Low,94.9,43.8
1077,College,Male,20,Rural,General,Private,Hindi,30227,12th,12th,Yes,No,No,No,Yes,5,2.5,1.4,60.0,5.8,Medium,76.0,30.0
1078,College,Female,22,Urban,General,Private,Hindi,78646,No School,10th,Yes,Yes,No,Yes,Yes,6,12.1,2.8,70.7,6.1,Medium,98.0,44.7
1079,College,Male,24,Rural,General,Private,English,10128,10th,12th,Yes,No,Yes,Yes,No,5,3.2,2.6,81.4,4.7,Low,73.6,38.9
1080,College,Female,17,Rural,OBC,Government,Hindi,28581,Postgraduate,Graduate,Yes,Yes,No,No,Yes,7,16.8,2.8,52.0,6.8,Medium,75.8,36.2
1081,College,Male,24,Rural,SC,Government,English,47687,12th,12th,Yes,Yes,No,No,Yes,8,14.9,3.6,65.5,6.2,Low,94.8,42.9
1082,College,Female,24,Rural,SC,Government,Hindi,81375,12th,No School,No,Yes,No,Yes,Yes,7,9.2,3.2,76.0,8.8,Low,89.4,41.3
1083,College,Female,19,Urban,OBC,Government,English,4867,12th,Postgraduate,Yes,Yes,Yes,Yes,No,7,2.8,1.3,67.4,5.4,Low,67.1,30.0
1084,College,Female,18,Rural,General,Private,Hindi,36043,12th,Graduate,No,Yes,Yes,No,No,5,13.0,4.3,77.5,4.6,Low,90.8,37.2
1085,College,Male,18,Rural,SC,Government,English,23746,Graduate,Graduate,Yes,Yes,No,Yes,No,8,15.8,3.2,55.4,5.2,Medium,80.2,31.2
1086,College,Female,17,Urban,ST,Private,Hindi,18174,Graduate,10th,Yes,Yes,No,No,No,7,13.5,1.7,70.5,7.0,Low,79.4,30.8
1087,College,Male,18,Urban,OBC,Government,English,44114,10th,Graduate,Yes,Yes,Yes,No,No,8,12.4,4.4,81.9,6.6,Low,90.1,47.6
1088,College,Female,23,Urban,OBC,Government,English,42144,Postgraduate,10th,Yes,Yes,No,No,No,3,5.7,2.1,74.0,7.2,Medium,77.3,37.4
1089,College,Female,19,Urban,General,Government,English,21504,No School,10th,Yes,No,No,No,No,3,5.4,2.9,75.3,5.2,Low,85.0,32.4
1090,College,Male,22,Urban,General,Private,Hindi,33611,12th,10th,Yes,No,No,Yes,No,7,13.7,3.5,67.9,5.1,Low,83.2,40.4
1091,College,Female,18,Urban,OBC,Private,English,4915,10th,10th,No,Yes,Yes,No,Yes,5,3.6,3.0,67.2,6.3,Medium,67.2,30.0
1092,College,Male,17,Urban,OBC,Government,English,37070,10th,12th,Yes,Yes,Yes,No,Yes,7,14.7,4.0,60.5,5.5,Medium,88.1,40.4
1093,College,Female,24,Urban,SC,Government,Hindi,51567,No School,10th,Yes,Yes,No,Yes,Yes,3,5.3,6.0,92.0,6.7,Low,98.0,48.1
1094,College,Male,24,Rural,ST,Private,English,12836,10th,12th,Yes,Yes,No,Yes,Yes,3,18.8,5.2,75.8,8.5,Low,85.9,33.4
1095,College,Female,19,Rural,SC,Government,Hindi,40292,Graduate,10th,Yes,Yes,Yes,No,No,6,6.2,2.2,65.9,5.7,Medium,76.4,38.9
1096,College,Female,20,Rural,OBC,Private,Hindi,55807,Graduate,10th,Yes,Yes,No,No,No,3,12.7,5.2,77.8,4.7,Medium,97.8,44.1
1097,College,Male,24,Rural,ST,Government,Hindi,82654,No School,Graduate,No,Yes,No,Yes,Yes,7,2.9,4.2,86.9,7.2,Low,98.0,44.7
1098,College,Male,19,Urban,General,Government,Hindi,15955,Postgraduate,12th,Yes,Yes,No,No,Yes,6,13.4,7.1,77.0,6.9,Medium,98.0,38.2
1099,College,Male,20,Urban,OBC,Private,Hindi,58808,Graduate,10th,No,Yes,No,Yes,No,3,10.1,4.2,65.7,8.8,Low,91.3,39.4
1100,College,Male,21,Rural,OBC,Private,English,172446,No School,12th,No,Yes,No,Yes,Yes,4,15.7,5.1,66.8,7.7,Medium,98.0,57.9
1101,College,Male,19,Urban,OBC,Government,Hindi,18295,12th,Graduate,No,Yes,No,Yes,No,7,15.9,3.6,76.6,5.9,Low,84.3,34.4
1102,College,Male,18,Urban,OBC,Government,Hindi,23047,Graduate,Graduate,Yes,Yes,No,Yes,No,5,13.5,1.5,72.7,5.7,Low,70.6,30.0
1103,College,Female,20,Rural,OBC,Government,Hindi,5739,10th,Postgraduate,Yes,Yes,No,No,No,5,2.0,1.5,65.6,7.7,Low,70.5,30.0
1104,College,Female,21,Rural,OBC,Government,Hindi,27934,Graduate,12th,No,No,No,Yes,No,4,1.1,4.1,76.0,5.1,Medium,88.0,40.5
1105,College,Male,18,Rural,General,Government,English,49248,Postgraduate,10th,No,Yes,No,Yes,No,7,15.2,4.5,84.1,6.4,Low,87.6,36.1
1106,College,Female,23,Urban,OBC,Government,Hindi,24949,10th,Postgraduate,No,Yes,No,No,Yes,4,7.0,2.7,88.9,6.1,Low,85.4,34.0
1107,College,Female,21,Rural,OBC,Private,Hindi,18179,12th,10th,Yes,Yes,Yes,Yes,No,8,10.6,5.1,87.1,8.2,Low,93.3,41.0
1108,College,Male,17,Urban,SC,Private,English,13542,No School,No School,Yes,Yes,No,No,No,6,11.7,3.4,75.4,8.7,Low,97.0,36.8
1109,College,Male,19,Rural,OBC,Government,Hindi,38580,Postgraduate,No School,Yes,Yes,Yes,Yes,No,5,6.7,3.3,73.5,4.6,Low,96.9,47.9
1110,College,Male,18,Urban,General,Government,Hindi,6093,10th,12th,Yes,Yes,No,Yes,Yes,3,19.4,2.2,67.7,8.7,Low,63.0,30.0
1111,College,Male,23,Rural,OBC,Government,English,41428,10th,Graduate,Yes,Yes,No,No,No,8,13.8,2.5,70.0,5.1,Medium,88.9,36.7
1112,College,Female,24,Urban,OBC,Government,Hindi,21192,12th,10th,Yes,Yes,No,Yes,No,8,18.5,2.6,68.5,8.4,Low,80.9,34.4
1113,College,Male,17,Urban,SC,Government,Hindi,21742,12th,No School,Yes,Yes,No,No,Yes,5,11.3,4.6,82.9,7.4,Low,98.0,46.7
1114,College,Male,18,Urban,General,Government,Hindi,22340,10th,Graduate,Yes,Yes,Yes,Yes,No,5,9.8,3.0,74.1,7.4,Low,83.4,41.7
1115,College,Male,19,Rural,General,Private,English,98744,No School,12th,Yes,Yes,No,Yes,Yes,6,15.2,3.8,94.0,5.7,Low,98.0,55.6
1116,College,Female,20,Urban,OBC,Private,English,11014,10th,10th,Yes,Yes,No,Yes,No,6,12.1,0.8,78.8,5.9,Medium,70.8,32.2
1117,College,Male,17,Urban,OBC,Government,English,21087,12th,12th,Yes,Yes,Yes,No,Yes,5,2.2,3.0,86.2,7.7,Medium,93.7,44.8
1118,College,Female,17,Urban,General,Government,Hindi,24032,Graduate,No School,Yes,Yes,No,No,No,4,13.5,1.7,71.9,7.8,Medium,74.9,30.2
1119,College,Female,19,Urban,OBC,Government,Hindi,21065,12th,No School,Yes,Yes,Yes,Yes,No,3,15.8,3.7,63.7,5.5,Low,90.0,38.7
1120,College,Male,18,Urban,General,Government,Hindi,11256,12th,10th,Yes,Yes,No,Yes,No,6,3.4,3.1,73.4,4.7,Medium,90.6,40.4
1121,College,Male,18,Urban,General,Government,English,19137,No School,Postgraduate,No,Yes,No,Yes,No,5,11.5,1.8,57.5,7.3,Low,64.3,30.0
1122,College,Male,19,Rural,General,Private,Hindi,30273,12th,No School,Yes,Yes,No,No,Yes,6,8.7,3.9,80.0,4.7,Low,83.5,35.0
1123,College,Male,19,Rural,OBC,Government,Hindi,14709,12th,12th,Yes,Yes,Yes,No,No,4,1.9,4.5,86.8,7.5,Medium,88.1,33.0
1124,College,Male,17,Urban,General,Government,English,15322,No School,12th,Yes,Yes,No,Yes,Yes,5,7.7,3.4,71.4,8.1,Low,68.0,30.0
1125,College,Female,20,Urban,SC,Government,Hindi,31712,Graduate,12th,Yes,Yes,Yes,Yes,No,3,16.8,5.4,66.6,7.4,Low,93.3,42.8
1126,College,Male,24,Urban,General,Private,English,21357,Postgraduate,12th,Yes,Yes,Yes,Yes,No,3,14.8,4.4,78.4,6.5,Medium,82.6,47.5
1127,College,Male,22,Urban,SC,Private,Hindi,13274,10th,10th,No,Yes,No,Yes,Yes,7,11.0,1.3,69.2,6.0,Low,65.9,30.0
1128,College,Female,18,Urban,OBC,Government,English,33410,Postgraduate,Graduate,Yes,Yes,No,Yes,No,7,10.4,4.5,78.1,5.6,Low,85.9,43.1
1129,College,Male,20,Urban,OBC,Government,English,44826,No School,12th,Yes,Yes,Yes,No,Yes,5,11.0,4.2,75.6,7.0,Medium,81.6,43.5
1130,College,Female,21,Rural,General,Government,Hindi,25819,Graduate,12th,No,No,No,No,No,5,3.6,2.6,65.9,6.2,Medium,83.4,37.9
1131,College,Female,18,Urban,SC,Government,Hindi,8736,12th,Graduate,Yes,Yes,No,Yes,No,5,8.2,4.5,91.6,7.5,Low,92.5,39.3
1132,College,Male,21,Rural,SC,Government,English,9377,Postgraduate,10th,Yes,Yes,Yes,No,No,5,1.4,3.0,96.8,6.7,Low,80.9,37.0
1133,College,Female,20,Urban,General,Government,Hindi,5231,Postgraduate,No School,No,Yes,Yes,Yes,No,7,8.9,2.9,83.8,6.1,Medium,85.7,33.2
1134,College,Female,23,Urban,SC,Government,English,28290,Graduate,10th,Yes,No,No,No,No,3,11.9,3.8,81.2,8.5,Low,94.1,43.5
1135,College,Male,23,Rural,General,Government,Hindi,30701,10th,10th,Yes,No,Yes,No,No,7,16.0,4.4,91.0,5.0,Low,98.0,41.5
1136,College,Female,17,Urban,General,Private,Hindi,96780,10th,10th,Yes,Yes,Yes,Yes,No,5,7.8,5.2,85.9,6.8,Low,98.0,56.7
1137,College,Male,22,Rural,General,Private,Hindi,20508,10th,Graduate,Yes,Yes,No,Yes,Yes,8,11.8,1.8,73.1,5.0,Low,72.2,33.1
1138,College,Female,21,Urban,OBC,Private,English,34707,10th,12th,Yes,Yes,Yes,No,No,3,1.6,4.5,100.0,8.7,Low,83.2,43.9
1139,College,Male,17,Rural,ST,Government,English,22281,12th,10th,No,Yes,No,Yes,Yes,6,1.4,2.0,84.5,8.9,Low,66.1,32.6
1140,College,Female,24,Rural,OBC,Government,Hindi,24272,No School,12th,Yes,Yes,No,No,No,3,13.4,5.0,81.6,4.6,Low,86.1,34.7
1141,College,Male,19,Urban,OBC,Private,Hindi,8863,Postgraduate,Postgraduate,No,Yes,Yes,Yes,No,4,4.0,0.5,72.2,8.1,Medium,65.6,30.0
1142,College,Male,24,Rural,General,Government,Hindi,9918,10th,12th,Yes,Yes,No,Yes,No,7,7.6,3.6,80.0,4.5,Medium,86.7,38.4
1143,College,Male,24,Rural,SC,Government,Hindi,12110,No School,10th,Yes,Yes,No,No,No,6,8.2,3.8,69.9,8.2,Low,81.2,30.0
1144,College,Male,22,Urban,OBC,Private,Hindi,4822,12th,Graduate,No,Yes,No,Yes,No,7,18.1,3.9,78.8,8.3,Low,83.3,32.0
1145,College,Female,22,Rural,OBC,Private,Hindi,20105,Graduate,12th,No,Yes,Yes,Yes,Yes,3,12.3,5.2,78.9,5.6,Medium,88.3,42.7
1146,College,Male,22,Rural,General,Private,English,32396,12th,12th,No,Yes,Yes,No,No,4,7.6,2.0,78.2,7.9,Low,82.6,30.0
1147,College,Female,17,Urban,General,Government,Hindi,10210,Postgraduate,12th,Yes,Yes,Yes,Yes,Yes,5,11.5,3.2,75.2,5.4,Medium,89.1,39.9
